Test,collisions,collision_rate (%),number_of_drones,duration (s),total_checks
test1,1,50,2,215.8,2
test2,9,0.8637,2,208.2,1042
test3,37,3.5514,2,213.8,1070
test4,0,0,2,206.6,1034
test5,0,0,2,218.4,1
test6,1,20,2,209.2,5
test7,12,1.1617,2,206.4,1033
test8,16,1.5826,2,202,1011
test9,8,0.7805,2,204.8,1025
test10,11,1.0649,2,206.4,1033
test11,83,7.2363,3,228,1147
test12,46,4.1373,3,227,1123
test13,104,9.7765,3,210.6,1074
test14,55,1.7869,3,205,3078
test15,1,0.0961,3,208.6,1041
test16,29,0.9295,3,207.8,3120
test17,42,1.3011,3,215,3228
test18,85,2.7113,3,208.8,3135
test19,1,0.0925,3,216.2,1081
test20,52,1.6894,3,205,3078
test21,695,10.9795,4,210.8,6330
test22,195,6.3477,4,205.4,3072
test23,56,1.807,4,207.2,3099
test24,617,19.7188,4,209,3129
test25,607,19.2332,4,210.2,3156
test26,710,11.1635,4,211.8,6360
test27,147,6.9701,4,210.4,2109
test28,138,4.3977,4,209.4,3138
test29,41,1.3192,4,207.6,3108
test30,59,1.801,4,218.4,3276
