Test,collisions,near_misses,collision_rate(%),near_misses_rate(%),avg_drone_dist(m),number_of_drones,duration(s),total_checks
test1,0,0,0,0,2.08,2,218.4,1033
test2,11,74,1.0338,6.9549,5.192,2,212.6,1064
test3,1,1,0.0963,0.0963,2.833,2,209.2,1038
test4,12,78,1.1617,7.5508,4.796,2,206.4,1033
test5,16,115,1.5826,11.3749,5.327,2,202,1011
test6,8,12,0.7805,1.1707,5.246,2,204.8,1025
test7,11,84,1.064,8.1317,4.102,2,206.4,1033
test8,0,1,0,0.0963,0.107,2,119.6,1031
test9,83,972,7.2363,84.7428,0.373,2,228,1147
test10,0,1,0,100,0.398,2,204,1009
test11,0,14,0,1.3487,5.39,2,207.4,1038
test12,1,61,0.0989,6.0336,3.821,2,202,1011
test13,0,38,0,0,3.5782,2,212.2,1062
test14,1,59,0.0973,5.7393,4.254,2,205.4,1028
test15,0,26,0,2.4857,5.006,2,209,1046
test16,0,22,0,2.1718,3.738,2,202.4,1013
test17,0,10,0,0.0097,4.072,2,119.8,1032
test18,13,54,1.272,5.2838,4.34,2,204.2,1022
test19,0,5,0,0.1944,2.355,2,199,1029
test20,0,13,0,1.2548,2.405,2,202.4,1036
test21,32,924,3.1281,90.3226,0.376,3,203.8,1023
test22,37,167,11.859,53.5256,0.568,3,227,3408
test23,0,23,0,2.2179,6.338,3,207.4,1037
test24,105,830,9.7765,77.2812,0.628,3,210.6,1074
test25,55,870,1.7869,28.2651,5.27,3,205,3078
test26,1,15,0.0961,1.4409,6.965,3,208.6,1041
test27,29,847,0.9295,27.1474,5.64,3,207.8,3120
test28,42,1067,1.3011,33.0545,4.1148,3,215,3228
test29,85,903,2.7113,28.8038,5.184,3,208,3135
test30,1,58,0.0925,5.3654,6.692,3,216.2,1081
test31,54,839,5.258,81.6943,0.4,3,204.4,1027
test32,1,21,0.0977,2.0508,7.004,3,205.2,1024
test33,45,1023,1.4395,32.7255,3.596,3,208.2,3126
test34,116,792,3.6686,25.0474,4.327,3,210.6,3162
test35,54,982,1.7699,32.1862,3.511,3,203.2,3051
test36,,,,,,3,,
test37,,,,,,3,,
test38,,,,,,3,,
test39,,,,,,3,,
test40,,,,,,3,,
,,,,,,,,
,,,,, ,,,
